response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0681,0.0000,0.0000,0.0000,0.0680,0.0000,200,12.9935
0.0727,0.0000,0.0000,0.0000,0.0726,0.0001,200,13.0617
0.0712,0.0000,0.0000,0.0000,0.0712,0.0000,200,13.1343
0.0705,0.0000,0.0000,0.0000,0.0705,0.0000,200,13.2055
0.0706,0.0000,0.0000,0.0000,0.0706,0.0000,200,13.2761
0.0678,0.0000,0.0000,0.0000,0.0677,0.0000,200,13.3467
0.0687,0.0000,0.0000,0.0000,0.0686,0.0000,200,13.4145
0.0742,0.0000,0.0000,0.0000,0.0741,0.0000,200,13.4832
0.0733,0.0000,0.0000,0.0000,0.0732,0.0001,200,13.5573
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,13.6307
0.0660,0.0000,0.0000,0.0000,0.0659,0.0001,200,13.7001
0.0677,0.0000,0.0000,0.0000,0.0676,0.0001,200,13.7661
0.0683,0.0000,0.0000,0.0000,0.0683,0.0000,200,13.8338
0.0682,0.0000,0.0000,0.0000,0.0681,0.0000,200,13.9021
0.0689,0.0000,0.0000,0.0000,0.0688,0.0001,200,13.9703
0.0752,0.0000,0.0000,0.0000,0.0751,0.0000,200,14.0393
0.0697,0.0000,0.0000,0.0000,0.0696,0.0001,200,14.1144
0.0709,0.0000,0.0000,0.0000,0.0708,0.0001,200,14.1842
0.0690,0.0000,0.0000,0.0000,0.0689,0.0000,200,14.2551
0.0710,0.0000,0.0000,0.0000,0.0709,0.0001,200,14.3241
0.0707,0.0000,0.0000,0.0000,0.0706,0.0000,200,14.3951
0.0699,0.0000,0.0000,0.0000,0.0698,0.0001,200,14.4658
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,14.5357
0.0753,0.0000,0.0000,0.0000,0.0752,0.0001,200,14.6052
0.0690,0.0000,0.0000,0.0000,0.0690,0.0000,200,14.6805
0.0666,0.0000,0.0000,0.0000,0.0666,0.0000,200,14.7495
0.0712,0.0000,0.0000,0.0000,0.0712,0.0001,200,14.8161
0.0675,0.0000,0.0000,0.0000,0.0674,0.0001,200,14.8874
0.0678,0.0000,0.0000,0.0000,0.0677,0.0000,200,14.9549
0.0702,0.0000,0.0000,0.0000,0.0701,0.0000,200,15.0227
0.0750,0.0000,0.0000,0.0000,0.0749,0.0001,200,15.0929
0.0690,0.0000,0.0000,0.0000,0.0689,0.0001,200,15.1679
0.0732,0.0000,0.0000,0.0000,0.0731,0.0001,200,15.2369
0.0683,0.0000,0.0000,0.0000,0.0682,0.0001,200,15.3101
0.0708,0.0000,0.0000,0.0000,0.0707,0.0001,200,15.3783
0.0691,0.0000,0.0000,0.0000,0.0690,0.0000,200,15.4492
0.0671,0.0000,0.0000,0.0000,0.0671,0.0001,200,15.5182
0.0697,0.0000,0.0000,0.0000,0.0696,0.0000,200,15.5854
0.0755,0.0000,0.0000,0.0000,0.0754,0.0000,200,15.6551
0.0680,0.0000,0.0000,0.0000,0.0680,0.0000,200,15.7306
0.0665,0.0000,0.0000,0.0000,0.0665,0.0000,200,15.7986
0.0722,0.0000,0.0000,0.0000,0.0722,0.0000,200,15.8651
0.0674,0.0000,0.0000,0.0000,0.0673,0.0000,200,15.9374
0.0689,0.0000,0.0000,0.0000,0.0688,0.0000,200,16.0048
0.0687,0.0000,0.0000,0.0000,0.0686,0.0001,200,16.0737
0.0685,0.0000,0.0000,0.0000,0.0684,0.0000,200,16.1424
0.0750,0.0000,0.0000,0.0000,0.0749,0.0000,200,16.2109
0.0694,0.0000,0.0000,0.0000,0.0693,0.0001,200,16.2859
0.0684,0.0000,0.0000,0.0000,0.0683,0.0001,200,16.3554
0.0706,0.0000,0.0000,0.0000,0.0705,0.0000,200,16.4238
0.0716,0.0000,0.0000,0.0000,0.0715,0.0001,200,16.4944
0.0690,0.0000,0.0000,0.0000,0.0689,0.0001,200,16.5660
0.0767,0.0000,0.0000,0.0000,0.0766,0.0001,200,16.6351
0.0698,0.0000,0.0000,0.0000,0.0697,0.0001,200,16.7117
0.0770,0.0000,0.0000,0.0000,0.0769,0.0001,200,16.7815
0.0677,0.0000,0.0000,0.0000,0.0676,0.0000,200,16.8585
0.0673,0.0000,0.0000,0.0000,0.0672,0.0001,200,16.9262
0.0705,0.0000,0.0000,0.0000,0.0704,0.0000,200,16.9936
0.0672,0.0000,0.0000,0.0000,0.0671,0.0001,200,17.0640
0.0703,0.0000,0.0000,0.0000,0.0702,0.0000,200,17.1312
0.0686,0.0000,0.0000,0.0000,0.0685,0.0000,200,17.2015
0.0709,0.0000,0.0000,0.0000,0.0708,0.0001,200,17.2701
0.0696,0.0000,0.0000,0.0000,0.0695,0.0000,200,17.3410
0.0919,0.0000,0.0000,0.0000,0.0918,0.0000,200,17.4106
0.0791,0.0000,0.0000,0.0000,0.0790,0.0000,200,17.5025
0.0604,0.0000,0.0000,0.0000,0.0604,0.0001,200,17.5816
0.0599,0.0000,0.0000,0.0000,0.0599,0.0000,200,17.6420
0.0617,0.0000,0.0000,0.0000,0.0616,0.0001,200,17.7020
0.0606,0.0000,0.0000,0.0000,0.0606,0.0000,200,17.7636
0.0616,0.0000,0.0000,0.0000,0.0615,0.0001,200,17.8243
0.0614,0.0000,0.0000,0.0000,0.0613,0.0001,200,17.8859
0.0602,0.0000,0.0000,0.0000,0.0601,0.0000,200,17.9473
0.0622,0.0000,0.0000,0.0000,0.0621,0.0000,200,18.0074
0.0755,0.0000,0.0000,0.0000,0.0754,0.0001,200,18.0697
0.0676,0.0000,0.0000,0.0000,0.0675,0.0001,200,18.1451
0.0684,0.0000,0.0000,0.0000,0.0684,0.0000,200,18.2127
0.0669,0.0000,0.0000,0.0000,0.0669,0.0000,200,18.2812
0.0711,0.0000,0.0000,0.0000,0.0710,0.0000,200,18.3481
0.0683,0.0000,0.0000,0.0000,0.0682,0.0001,200,18.4192
