response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0689,0.0000,0.0000,0.0000,0.0688,0.0000,200,10.9170
0.0776,0.0000,0.0000,0.0000,0.0775,0.0000,200,10.9859
0.0652,0.0000,0.0000,0.0000,0.0651,0.0000,200,11.0635
0.0664,0.0000,0.0000,0.0000,0.0663,0.0001,200,11.1287
0.0652,0.0000,0.0000,0.0000,0.0651,0.0000,200,11.1951
0.0666,0.0000,0.0000,0.0000,0.0665,0.0000,200,11.2602
0.0660,0.0000,0.0000,0.0000,0.0659,0.0000,200,11.3268
0.0683,0.0000,0.0000,0.0000,0.0682,0.0001,200,11.3928
0.0709,0.0000,0.0000,0.0000,0.0708,0.0001,200,11.4611
0.0831,0.0000,0.0000,0.0000,0.0830,0.0000,200,11.5319
0.0694,0.0000,0.0000,0.0000,0.0693,0.0000,200,11.6150
0.0697,0.0000,0.0000,0.0000,0.0696,0.0000,200,11.6845
0.0684,0.0000,0.0000,0.0000,0.0684,0.0000,200,11.7542
0.0677,0.0000,0.0000,0.0000,0.0676,0.0000,200,11.8226
0.0672,0.0000,0.0000,0.0000,0.0671,0.0001,200,11.8903
0.0674,0.0000,0.0000,0.0000,0.0673,0.0000,200,11.9575
0.0804,0.0000,0.0000,0.0000,0.0804,0.0001,200,12.0249
0.0744,0.0000,0.0000,0.0000,0.0743,0.0000,200,12.1054
0.0815,0.0000,0.0000,0.0000,0.0814,0.0000,200,12.1798
0.0679,0.0000,0.0000,0.0000,0.0678,0.0001,200,12.2612
0.0671,0.0000,0.0000,0.0000,0.0670,0.0001,200,12.3291
0.0702,0.0000,0.0000,0.0000,0.0701,0.0001,200,12.3962
0.0755,0.0000,0.0000,0.0000,0.0754,0.0000,200,12.4664
0.0700,0.0000,0.0000,0.0000,0.0699,0.0000,200,12.5419
0.0800,0.0000,0.0000,0.0000,0.0799,0.0000,200,12.6119
0.0793,0.0000,0.0000,0.0000,0.0792,0.0001,200,12.6919
0.0693,0.0000,0.0000,0.0000,0.0692,0.0000,200,12.7712
0.0693,0.0000,0.0000,0.0000,0.0693,0.0001,200,12.8404
0.0681,0.0000,0.0000,0.0000,0.0680,0.0000,200,12.9098
0.0707,0.0000,0.0000,0.0000,0.0706,0.0001,200,12.9778
0.0698,0.0000,0.0000,0.0000,0.0697,0.0001,200,13.0485
0.0664,0.0000,0.0000,0.0000,0.0663,0.0000,200,13.1183
0.0693,0.0000,0.0000,0.0000,0.0692,0.0001,200,13.1847
0.0744,0.0000,0.0000,0.0000,0.0743,0.0000,200,13.2540
0.0766,0.0000,0.0000,0.0000,0.0765,0.0001,200,13.3284
0.0851,0.0000,0.0000,0.0000,0.0850,0.0000,200,13.4050
0.0644,0.0000,0.0000,0.0000,0.0643,0.0000,200,13.4901
0.0616,0.0000,0.0000,0.0000,0.0615,0.0001,200,13.5545
0.0630,0.0000,0.0000,0.0000,0.0629,0.0000,200,13.6161
0.0682,0.0000,0.0000,0.0000,0.0681,0.0001,200,13.6791
0.0612,0.0000,0.0000,0.0000,0.0611,0.0000,200,13.7473
0.0643,0.0000,0.0000,0.0000,0.0642,0.0000,200,13.8085
0.0751,0.0000,0.0000,0.0000,0.0750,0.0001,200,13.8728
0.0693,0.0000,0.0000,0.0000,0.0692,0.0000,200,13.9478
0.0687,0.0000,0.0000,0.0000,0.0686,0.0000,200,14.0172
